metric,description,classification
f1150210,Population_American_Indian_Alaska_Native_Female_20_24=2010,EXTENSIVE
f1150310,Population_American_Indian_Alaska_Native_Male_25_29=2010,EXTENSIVE
f1150410,Population_American_Indian_Alaska_Native_Female_25_29=2010,EXTENSIVE
f1150510,Population_American_Indian_Alaska_Native_Male_30_34=2010,EXTENSIVE
f1150610,Population_American_Indian_Alaska_Native_Female_30_34=2010,EXTENSIVE
f1150710,Population_American_Indian_Alaska_Native_Male_35_44=2010,EXTENSIVE
f1150810,Population_American_Indian_Alaska_Native_Female_35_44=2010,EXTENSIVE
f1150910,Population_American_Indian_Alaska_Native_Male_45_54=2010,EXTENSIVE
f1151010,Population_American_Indian_Alaska_Native_Female_45_54=2010,EXTENSIVE
f1151110,Population_American_Indian_Alaska_Native_Male_55_59=2010,EXTENSIVE
f1151210,Population_American_Indian_Alaska_Native_Female_55_59=2010,EXTENSIVE
f1151310,Population_American_Indian_Alaska_Native_Male_60_64=2010,EXTENSIVE
f1151410,Population_American_Indian_Alaska_Native_Female_60_64=2010,EXTENSIVE
f1151510,Population_American_Indian_Alaska_Native_Male_65_74=2010,EXTENSIVE
f1151610,Population_American_Indian_Alaska_Native_Female_65_74=2010,EXTENSIVE
f1151710,Population_American_Indian_Alaska_Native_Male_75_84=2010,EXTENSIVE
f1151810,Population_American_Indian_Alaska_Native_Female_75_84=2010,EXTENSIVE
f1154510,Population_Some_Other_Race_Male_<_5=2010,EXTENSIVE
f1154610,Population_Some_Other_Race_Female_<_5=2010,EXTENSIVE
f1154710,Population_Some_Other_Race_Male_5_9=2010,EXTENSIVE
f1154810,Population_Some_Other_Race_Female_5_9=2010,EXTENSIVE
f1154910,Population_Some_Other_Race_Male_10_14=2010,EXTENSIVE
f1155010,Population_Some_Other_Race_Female_10_14=2010,EXTENSIVE
f1155110,Population_Some_Other_Race_Male_15_19=2010,EXTENSIVE
f1155210,Population_Some_Other_Race_Female_15_19=2010,EXTENSIVE
f1155310,Population_Some_Other_Race_Male_20_24=2010,EXTENSIVE
f1155410,Population_Some_Other_Race_Female_20_24=2010,EXTENSIVE
f1155510,Population_Some_Other_Race_Male_25_29=2010,EXTENSIVE
f1155610,Population_Some_Other_Race_Female_25_29=2010,EXTENSIVE
f1155710,Population_Some_Other_Race_Male_30_34=2010,EXTENSIVE
f1155810,Population_Some_Other_Race_Female_30_34=2010,EXTENSIVE
f1155910,Population_Some_Other_Race_Male_35_44=2010,EXTENSIVE
f1156010,Population_Some_Other_Race_Female_35_44=2010,EXTENSIVE
f1156110,Population_Some_Other_Race_Male_45_54=2010,EXTENSIVE
f1156210,Population_Some_Other_Race_Female_45_54=2010,EXTENSIVE
f1156310,Population_Some_Other_Race_Male_55_59=2010,EXTENSIVE
f1156410,Population_Some_Other_Race_Female_55_59=2010,EXTENSIVE
f1156510,Population_Some_Other_Race_Male_60_64=2010,EXTENSIVE
f1156610,Population_Some_Other_Race_Female_60_64=2010,EXTENSIVE
f1156710,Population_Some_Other_Race_Male_65_74=2010,EXTENSIVE
f1156810,Population_Some_Other_Race_Female_65_74=2010,EXTENSIVE
f1156910,Population_Some_Other_Race_Male_75_84=2010,EXTENSIVE
f1157010,Population_Some_Other_Race_Female_75_84=2010,EXTENSIVE
f1157110,Population_Hispanic_Latino_Male_<_5=2010,EXTENSIVE
f1157210,Population_Hispanic_Latino_Female_<_5=2010,EXTENSIVE
f1157310,Population_Hispanic_Latino_Male_5_9=2010,EXTENSIVE
f1157410,Population_Hispanic_Latino_Female_5_9=2010,EXTENSIVE
f1157510,Population_Hispanic_Latino_Male_10_14=2010,EXTENSIVE
f1157610,Population_Hispanic_Latino_Female_10_14=2010,EXTENSIVE
f1157710,Population_Hispanic_Latino_Male_15_19=2010,EXTENSIVE
f1157810,Population_Hispanic_Latino_Female_15_19=2010,EXTENSIVE
f1157910,Population_Hispanic_Latino_Male_20_24=2010,EXTENSIVE
f1158010,Population_Hispanic_Latino_Female_20_24=2010,EXTENSIVE
f1158110,Population_Hispanic_Latino_Male_25_29=2010,EXTENSIVE
f1158210,Population_Hispanic_Latino_Female_25_29=2010,EXTENSIVE
f1158310,Population_Hispanic_Latino_Male_30_34=2010,EXTENSIVE
f1158410,Population_Hispanic_Latino_Female_30_34=2010,EXTENSIVE
f1158510,Population_Hispanic_Latino_Male_35_44=2010,EXTENSIVE
f1158610,Population_Hispanic_Latino_Female_35_44=2010,EXTENSIVE
f1158710,Population_Hispanic_Latino_Male_45_54=2010,EXTENSIVE
f1158810,Population_Hispanic_Latino_Female_45_54=2010,EXTENSIVE
f1158910,Population_Hispanic_Latino_Male_55_59=2010,EXTENSIVE
f1159010,Population_Hispanic_Latino_Female_55_59=2010,EXTENSIVE
f1159110,Population_Hispanic_Latino_Male_60_64=2010,EXTENSIVE
f1159210,Population_Hispanic_Latino_Female_60_64=2010,EXTENSIVE
f1159310,Population_Hispanic_Latino_Male_65_74=2010,EXTENSIVE
f1159410,Population_Hispanic_Latino_Female_65_74=2010,EXTENSIVE
f1159510,Population_Hispanic_Latino_Male_75_84=2010,EXTENSIVE
f1159610,Population_Hispanic_Latino_Female_75_84=2010,EXTENSIVE
f1160310,#_Single_Parent_Households=2010,EXTENSIVE
f1160410,#_Single_Parent_Households_White=2010,EXTENSIVE
f1160510,#_Single_Parent_Households_Black_African_American=2010,EXTENSIVE
f1160610,#_Single_Parent_Households_American_Indian_Alaska_Native=2010,EXTENSIVE
f1160810,#_Single_Parent_Household_Hispanic_Latino=2010,EXTENSIVE
f1164010,Population_Male_75_84=2010,EXTENSIVE
f1164110,Population_Female_75_84=2010,EXTENSIVE
f1164210,Population_Male_>_84=2010,EXTENSIVE
f1164310,Population_Female_>_84=2010,EXTENSIVE
f1164410,Population_White_Male_>_84=2010,EXTENSIVE
f1164510,Population_White_Female_>_84=2010,EXTENSIVE
f1164610,Population_Black_African_American_Male_>_84=2010,EXTENSIVE
f1164710,Population_Black_African_American_Female_>_84=2010,EXTENSIVE
f1164810,Population_American_Indian_Alaska_Native_Male_>_84=2010,EXTENSIVE
f1164910,Population_American_Indian_Alaska_Native_Female_>_84=2010,EXTENSIVE
f1165210,Population_Some_Other_Race_Male_>_84=2010,EXTENSIVE
f1165310,Population_Some_Other_Race_Female_>_84=2010,EXTENSIVE
f1165410,Population_Hispanic_Latino_Male_>_84=2010,EXTENSIVE
f1165510,Population_Hispanic_Latino_Female_>_84=2010,EXTENSIVE
f1166110,#_White_Households=2010,EXTENSIVE
f1166210,#_Black_African_American_Households=2010,EXTENSIVE
f1166310,#_American_Indian_Alaska_Native_Households=2010,EXTENSIVE
f1166510,#_Some_Other_Race_Households=2010,EXTENSIVE
f1166610,#_Hispanic_Latino_Households=2010,EXTENSIVE
f1167310,%_Owner_Occupied_Housing_Units=2010,INTENSIVE
f1167418,Allergy_&_Immunology_Total=2018,EXTENSIVE
f1167518,Allergy&Immunology_Total_Patient_Care=2018,EXTENSIVE
f1167618,Allergy&Immunology_Patient_Care_Office_Based=2018,EXTENSIVE
f1167918,Allergy&Immunology_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1168018,Allergy&Immunology_Administration=2018,EXTENSIVE
f1168118,Allergy&Immunology_Teaching=2018,EXTENSIVE
f1168218,Allergy&Immunology_Research=2018,EXTENSIVE
f1168318,Allergy&Immunology_Other=2018,EXTENSIVE
f1168418,Obstetrics_Gynecology_General_Total=2018,EXTENSIVE
f1168518,Obstetrics_Gynecology_General_Total_Patient_Care=2018,EXTENSIVE
f1168618,Obstetrics_Gynecology_General_Patient_Care_Office_Based=2018,EXTENSIVE
f1168918,Obstetrics_Gynecology_General_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1169018,Obstetrics_Gynecology_General_Administration=2018,EXTENSIVE
f1169118,Obstetrics_Gynecology_General_Teaching=2018,EXTENSIVE
f1169218,Obstetrics_Gynecology_General_Research=2018,EXTENSIVE
f1169318,Obstetrics_Gynecology_General_Other=2018,EXTENSIVE
f1169418,Obstetrics_Gynecology_Subspecialties_Total=2018,EXTENSIVE
f1169518,Obstetrics_Gynecology_Subspecialties_Total_Patient_Care=2018,EXTENSIVE
f1169618,Obstetrics_Gynecology_Subspecialties_Patient_Care_Office_Based=2018,EXTENSIVE
f1169918,Obstetrics_Gynecology_Subspecialties_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1170018,Obstetrics_Gynecology_Subspecialties_Administration=2018,EXTENSIVE
f1170118,Obstetrics_Gynecology_Subspecialties_Teaching=2018,EXTENSIVE
f1170218,Obstetrics_Gynecology_Subspecialties_Research=2018,EXTENSIVE
f1170318,Obstetrics_Gynecology_Subspecialties_Other=2018,EXTENSIVE
f1170418,Pediatrics_General_Total=2018,EXTENSIVE
f1170518,Pediatrics_General_Total_Patient_Care=2018,EXTENSIVE
f1170618,Pediatrics_General_Patient_Care_Office_Based=2018,EXTENSIVE
f1170918,Pediatrics_General_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1171018,Pediatrics_General_Administration=2018,EXTENSIVE
f1171118,Pediatrics_General_Teaching=2018,EXTENSIVE
f1171218,Pediatrics_General_Research=2018,EXTENSIVE
f1171318,Pediatrics_General_Other=2018,EXTENSIVE
f1171418,Pediatric_Subspecialties_Total=2018,EXTENSIVE
f1171518,Pediatric_Subspecialties_Total_Patient_Care=2018,EXTENSIVE
f1171618,Pediatric_Subspecialties_Patient_Care_Office_Based=2018,EXTENSIVE
f1171918,Pediatric_Subspecialties_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1172018,Pediatric_Subspecialties_Administration=2018,EXTENSIVE
f1172118,Pediatric_Subspecialties_Teaching=2018,EXTENSIVE
f1172218,Pediatric_Subspecialties_Research=2018,EXTENSIVE
f1172318,Pediatric_Subspecialties_Other=2018,EXTENSIVE
f1172418,Internal_Medical_Medicine_Subspecialties_Total=2018,EXTENSIVE
f1172518,Internal_Medical_Medicine_Subspecialties_Total_Patient_Care=2018,EXTENSIVE
f1172618,Internal_Medical_Medicine_Subspecialties_Patient_Care_Office_Based=2018,EXTENSIVE
f1172918,Internal_Medical_Medicine_Subspecialties_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1173018,Internal_Medical_Medicine_Subspecialties_Administration=2018,EXTENSIVE
f1173118,Internal_Medical_Medicine_Subspecialties_Teaching=2018,EXTENSIVE
f1173218,Internal_Medical_Medicine_Subspecialties_Research=2018,EXTENSIVE
f1173318,Internal_Medical_Medicine_Subspecialties_Other=2018,EXTENSIVE
f1173718,Pediatrics_General_Other_Professional_Active=2018,EXTENSIVE
f1173918,Other_Medical_Medicine_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1174018,Other_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1174118,Other_Medical_Medicine_Other_Professional_Activity=2018,EXTENSIVE
f1174318,Obstetrics_Gynecology_General_Patient_Care_Hospital_Residents=2018,EXTENSIVE
f1174518,Obstetrics_Gynecology_General_Other_Professional_Activity=2018,EXTENSIVE
f1174918,Obstetrics_Gynecology_Subspecialties_Other_Professional_Active=2018,EXTENSIVE
f1185918,Allergy_&_Immunology_<_35=2018,EXTENSIVE
f1186018,Allergy_&_Immunology_35_44=2018,EXTENSIVE
f1186118,Allergy_&_Immunology_45_54=2018,EXTENSIVE
f1186218,Allergy_&_Immunology_55_64=2018,EXTENSIVE
f1186418,General_Internal_Medical_Medicine_<_35=2018,EXTENSIVE
f1186518,General_Internal_Medical_Medicine_35_44=2018,EXTENSIVE
f1186618,General_Internal_Medical_Medicine_45_54=2018,EXTENSIVE
f1186718,General_Internal_Medical_Medicine_55_64=2018,EXTENSIVE
f1186918,Internal_Medical_Medicine_Subspecialties_<_35=2018,EXTENSIVE
f1187018,Internal_Medical_Medicine_Subspecialties_35_44=2018,EXTENSIVE
f1187118,Internal_Medical_Medicine_Subspecialties_45_54=2018,EXTENSIVE
f1187218,Internal_Medical_Medicine_Subspecialties_55_64=2018,EXTENSIVE
f1187418,Pediatrics_General_<_35=2018,EXTENSIVE
f1187518,Pediatrics_General_35_44=2018,EXTENSIVE
f1187618,Pediatrics_General_45_54=2018,EXTENSIVE
f1187718,Pediatrics_General_55_64=2018,EXTENSIVE
f1187918,Pediatric_Subspecialties_<_35=2018,EXTENSIVE
f1188018,Pediatric_Subspecialties_35_44=2018,EXTENSIVE
f1188118,Pediatric_Subspecialties_45_54=2018,EXTENSIVE
f1188218,Pediatric_Subspecialties_55_64=2018,EXTENSIVE
f1188418,Obstetrics_Gynecology_General_<_35=2018,EXTENSIVE
f1188518,Obstetrics_Gynecology_General_35_44=2018,EXTENSIVE
f1188618,Obstetrics_Gynecology_General_45_54=2018,EXTENSIVE
f1188718,Obstetrics_Gynecology_General_55_64=2018,EXTENSIVE
f1188918,Obstetrics_Gynecology_Subspecialties_<_35=2018,EXTENSIVE
f1189018,Obstetrics_Gynecology_Subspecialties_35_44=2018,EXTENSIVE
f1189118,Obstetrics_Gynecology_Subspecialties_45_54=2018,EXTENSIVE
f1189218,Obstetrics_Gynecology_Subspecialties_55_64=2018,EXTENSIVE
f1192416,3_Year_White_Male_Infant_Deaths=2016-18,EXTENSIVE
f1192516,3_Year_White_Female_Infant_Deaths=2016-18,EXTENSIVE
f1192616,3_Year_Black_Male_Infant_Deaths=2016-18,EXTENSIVE
f1192716,3_Year_Black_Female_Infant_Deaths=2016-18,EXTENSIVE
f1192816,3_Year_Other_Male_Infant_Deaths=2016-18,EXTENSIVE
f1192916,3_Year_Other_Female_Infant_Deaths=2016-18,EXTENSIVE
f1193016,3_Year_Acquired_Immunodeficiency_Syndrome_Deaths=2016-18,EXTENSIVE
f1193116,3_Year_Infectious_&_Parasitic._Disease=2016-18,EXTENSIVE
f1193216,3_Year_Malignant_Neoplasms=2016-18,EXTENSIVE
f1193316,3_Year_Ischemic_Heart_Disease=2016-18,EXTENSIVE
f1193516,3_Year_Influenza_&_Pneumonia=2016-18,EXTENSIVE
f1193616,3_Year_Chronic_Lower_Respiratory_Disease=2016-18,EXTENSIVE
f1193716,3_Year_Chronic_Liver_Disease&Cirrhosis=2016-18,EXTENSIVE
f1193816,3_Year_Motor_Vehicle_Accidents=2016-18,EXTENSIVE
f1194116,3_Year_Total_Deaths=2016-18,EXTENSIVE
f1194216,3_Year_White_Male_Deaths=2016-18,EXTENSIVE
f1194316,3_Year_Black_Male_Deaths=2016-18,EXTENSIVE
f1194416,3_Year_Other_Male_Deaths=2016-18,EXTENSIVE
f1194516,3_Year_White_Female_Deaths=2016-18,EXTENSIVE
f1194616,3_Year_Black_Female_Deaths=2016-18,EXTENSIVE
f1194716,3_Year_Other_Female_Deaths=2016-18,EXTENSIVE
f1194816,3_Year_Mortality_Age_<_1_Year=2016-18,EXTENSIVE
f1194916,3_Year_Mortality_Age_1_4_Years=2016-18,EXTENSIVE
f1195016,3_Year_Mortality_Age_5_14_Years=2016-18,EXTENSIVE
f1195116,3_Year_Mortality_Age_15_24_Years=2016-18,EXTENSIVE
f1195216,3_Year_Mortality_Age_25_34_Years=2016-18,EXTENSIVE
f1195316,3_Year_Mortality_Age_35_44_Years=2016-18,EXTENSIVE
f1195416,3_Year_Mortality_Age_45_54_Years=2016-18,EXTENSIVE
f1195516,3_Year_Mortality_Age_55_64_Years=2016-18,EXTENSIVE
f1195616,3_Year_Mortality_Age_65_74_Years=2016-18,EXTENSIVE
f1195716,3_Year_Mortality_Age_75_84_Years=2016-18,EXTENSIVE
f1195816,3_Year_Mortality_Age_85+_Years=2016-18,EXTENSIVE
f1197318,Medical_Dental_Resident_Internal_Full_Time=2018,EXTENSIVE
f1197418,Medical_Dental_Resident_Internal_Partial_Time=2018,EXTENSIVE
f1198419,Population_Estimate=2019,EXTENSIVE
f1199618,Medical_Doctors_Family_Medical_Medicine_General_Total=2018,EXTENSIVE
f1199718,Medical_Doctors_Family_Medical_Medicine_General_Total_Patient_Care=2018,EXTENSIVE
f1199818,Medical_Doctors_Family_Medical_Medicine_General_Patient_Care_Office_Based=2018,EXTENSIVE
f1200118,Medical_Doctors_Family_Medical_Medicine_General_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1200218,Medical_Doctors_Family_Medical_Medicine_General_Administratn=2018,EXTENSIVE
f1200318,Medical_Doctors_Family_Medical_Medicine_General_Teaching=2018,EXTENSIVE
f1200418,Medical_Doctors_Family_Medical_Medicine_General_Research=2018,EXTENSIVE
f1200518,Medical_Doctors_Family_Medical_Medicine_General_Other=2018,EXTENSIVE
f1200618,Medical_Doctors_Family_Medical_Medicine_Subspecialty_Total=2018,EXTENSIVE
f1200718,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Total_Patient_Care=2018,EXTENSIVE
f1200818,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Patient_Care_Office_Based=2018,EXTENSIVE
f1201118,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1201218,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Administration=2018,EXTENSIVE
f1201318,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Teaching=2018,EXTENSIVE
f1201418,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Research=2018,EXTENSIVE
f1201518,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Other=2018,EXTENSIVE
f1201618,Total_M.D.'s_65_74=2018,EXTENSIVE
f1201718,Total_M.D.'s_75_+=2018,EXTENSIVE
f1201818,Medical_Doctors_Total_General_Practice_65_74=2018,EXTENSIVE
f1201918,Medical_Doctors_Total_General_Practice_75_+=2018,EXTENSIVE
f1202018,Medical_Doctors_General_Practice_65_74=2018,EXTENSIVE
f1202118,Medical_Doctors_General_Practice_75_+=2018,EXTENSIVE
f1202218,Medical_Doctors_Family_Medical_Medicine_General_<_35=2018,EXTENSIVE
f1202318,Medical_Doctors_Family_Medical_Medicine_General_35_44=2018,EXTENSIVE
f1202418,Medical_Doctors_Family_Medical_Medicine_General_45_54=2018,EXTENSIVE
f1202518,Medical_Doctors_Family_Medical_Medicine_General_55_64=2018,EXTENSIVE
f1202618,Medical_Doctors_Family_Medical_Medicine_General_65_74=2018,EXTENSIVE
f1202718,Medical_Doctors_Family_Medical_Medicine_General_75_+=2018,EXTENSIVE
f1202818,Medical_Doctors_Family_Practice_Subspecialties_<_35=2018,EXTENSIVE
f1202918,Medical_Doctors_Family_Practice_Subspecialties_35_44=2018,EXTENSIVE
f1203018,Medical_Doctors_Family_Practice_Subspecialties_45_54=2018,EXTENSIVE
f1203118,Medical_Doctors_Family_Practice_Subspecialties_55_64=2018,EXTENSIVE
f1203218,Medical_Doctors_Family_Practice_Subspecialties_65_74=2018,EXTENSIVE
f1203318,Medical_Doctors_Family_Practice_Subspecialties_75_+=2018,EXTENSIVE
f1203418,Medical_Specialty_Total_65_74=2018,EXTENSIVE
f1203518,Medical_Specialty_Total_75_+=2018,EXTENSIVE
f1203618,Allergy_&_Immunology_65_74=2018,EXTENSIVE
f1203718,Allergy_&_Immunology_75_+=2018,EXTENSIVE
f1203818,Cardiovascular_Diseases_65_74=2018,EXTENSIVE
f1203918,Cardiovascular_Diseases_75_+=2018,EXTENSIVE
f1204018,Dermatology_65_74=2018,EXTENSIVE
f1204118,Dermatology_75_+=2018,EXTENSIVE
f1204218,Gastroenterology_65_74=2018,EXTENSIVE
f1204318,Gastroenterology_75_+=2018,EXTENSIVE
f1204418,General_Internal_Medical_Medicine_65_74=2018,EXTENSIVE
f1204518,General_Internal_Medical_Medicine_75_+=2018,EXTENSIVE
f1204618,Internal_Medical_Medicine_Subspecialties_65_74=2018,EXTENSIVE
f1204718,Internal_Medical_Medicine_Subspecialties_75_+=2018,EXTENSIVE
f1204818,Pediatrics_General_65_74=2018,EXTENSIVE
f1204918,Pediatrics_General_75_+=2018,EXTENSIVE
f1205018,Pediatric_Subspecialties_65_74=2018,EXTENSIVE
f1205118,Pediatric_Subspecialties_75_+=2018,EXTENSIVE
f1205218,Pediatric_Cardiology_65_74=2018,EXTENSIVE
f1205318,Pediatric_Cardiology_75_+=2018,EXTENSIVE
f1205418,Pulmonary_Diseases_65_74=2018,EXTENSIVE
f1205518,Pulmonary_Diseases_75_+=2018,EXTENSIVE
f1205618,Surgical_Specialty_Total_65_74=2018,EXTENSIVE
f1205718,Surgical_Specialty_Total_75_+=2018,EXTENSIVE
f1205818,General_Surgery_65_74=2018,EXTENSIVE
f1205918,General_Surgery_75_+=2018,EXTENSIVE
f1206018,Neurological_Surgery_65_74=2018,EXTENSIVE
f1206118,Neurological_Surgery_75_+=2018,EXTENSIVE
f1206218,Obstetrics_Gynecology_General_65_74=2018,EXTENSIVE
f1206318,Obstetrics_Gynecology_General_75_+=2018,EXTENSIVE
f1206418,Obstetrics_Gynecology_Subspecialties_65_74=2018,EXTENSIVE
f1206518,Obstetrics_Gynecology_Subspecialties_75_+=2018,EXTENSIVE
f1206618,Ophthalmology_65_74=2018,EXTENSIVE
f1206718,Ophthalmology_75_+=2018,EXTENSIVE
f1206818,Orthopedic_Surgery_65_74=2018,EXTENSIVE
f1206918,Orthopedic_Surgery_75_+=2018,EXTENSIVE
f1207018,Otolaryngology_65_74=2018,EXTENSIVE
f1207118,Otolaryngology_75_+=2018,EXTENSIVE
f1207218,Plastic_Surgery_65_74=2018,EXTENSIVE
f1207318,Plastic_Surgery_75_+=2018,EXTENSIVE
f1207418,Colon_&_Rectal_Surgery_65_74=2018,EXTENSIVE
f1207518,Colon_&_Rectal_Surgery_75_+=2018,EXTENSIVE
f1207618,Thoracic_Surgery_65_74=2018,EXTENSIVE
f1207718,Thoracic_Surgery_75_+=2018,EXTENSIVE
f1207818,Urology_65_74=2018,EXTENSIVE
f1207918,Urology_75_+=2018,EXTENSIVE
f1208018,Other_Specialty_Total_65_74=2018,EXTENSIVE
f1208118,Other_Specialty_Total_75_+=2018,EXTENSIVE
f1208218,Aerospace_Medicine_65_74=2018,EXTENSIVE
f1208318,Aerospace_Medicine_75_+=2018,EXTENSIVE
f1208418,Anesthesiology_65_74=2018,EXTENSIVE
f1208518,Anesthesiology_75_+=2018,EXTENSIVE
f1208618,Child_Psychiatry_65_74=2018,EXTENSIVE
f1208718,Child_Psychiatry_75_+=2018,EXTENSIVE
f1208818,Diagnostic_Radiology_65_74=2018,EXTENSIVE
f1208918,Diagnostic_Radiology_75_+=2018,EXTENSIVE
f1209018,Emergency_Medicine_65_74=2018,EXTENSIVE
f1209118,Emergency_Medicine_75_+=2018,EXTENSIVE
f1209218,Forensic_Pathology_65_74=2018,EXTENSIVE
f1209318,Forensic_Pathology_75_+=2018,EXTENSIVE
f1209418,Neurology_65_74=2018,EXTENSIVE
f1209518,Neurology_75_+=2018,EXTENSIVE
f1209618,Nuclear_Medicine_65_74=2018,EXTENSIVE
f1209718,Nuclear_Medicine_75_+=2018,EXTENSIVE
f1209818,Occupational_Medicine_65_74=2018,EXTENSIVE
f1209918,Occupational_Medicine_75_+=2018,EXTENSIVE
f1210018,Psychiatry_65_74=2018,EXTENSIVE
f1210118,Psychiatry_75_+=2018,EXTENSIVE
f1210218,Pathology_Anatomical_Clinic_65_74=2018,EXTENSIVE
f1210318,Pathology_Anatomical_Clinic_75_+=2018,EXTENSIVE
f1210418,Physical_Medical_Medicine_&_Rehabilitation_65_74=2018,EXTENSIVE
f1210518,Physical_Medical_Medicine_&_Rehabilitation_75_+=2018,EXTENSIVE
f1210618,General_Preventive_Medical_Medicine_65_74=2018,EXTENSIVE
f1210718,General_Preventive_Medical_Medicine_75_+=2018,EXTENSIVE
f1210818,Public_Health_65_74=2018,EXTENSIVE
f1210918,Public_Health_75_+=2018,EXTENSIVE
f1211018,Radiology_65_74=2018,EXTENSIVE
f1211118,Radiology_75_+=2018,EXTENSIVE
f1211218,Radiation_Oncology_65_74=2018,EXTENSIVE
f1211318,Radiation_Oncology_75_+=2018,EXTENSIVE
f1211418,Other_Specialty_65_74=2018,EXTENSIVE
f1211518,Other_Specialty_75_+=2018,EXTENSIVE
f1211618,Unspecified_65_74=2018,EXTENSIVE
f1211718,Unspecified_75_+=2018,EXTENSIVE
f1211818,Medical_Doctors_Inactive_65_74=2018,EXTENSIVE
f1211918,Medical_Doctors_Inactive_75_+=2018,EXTENSIVE
f1212018,Medical_Doctors_Not_Classified_65_74=2018,EXTENSIVE
f1212118,Medical_Doctors_Not_Classified_75_+=2018,EXTENSIVE
f1212818,Total_M.D.'s_Total_Non_Federal_&_Federal=2018,EXTENSIVE
f1212918,Total_Active_M.D.s_Non_Federal_&_Federal=2018,EXTENSIVE
f1213018,Other_Trainees_Full_Time=2018,EXTENSIVE
f1213218,Other_Trainees_Partial_Time=2018,EXTENSIVE
f1214404,Bureau_of_Economic_Analysis_Component_Economic_Area_Code=2004,META
f1242518,Medical_Genetics_Total=2018,EXTENSIVE
f1242618,Medical_Genetics_<_35=2018,EXTENSIVE
f1242718,Medical_Genetics_35_44=2018,EXTENSIVE
f1242818,Medical_Genetics_45_54=2018,EXTENSIVE
f1242918,Medical_Genetics_55_64=2018,EXTENSIVE
f1243018,Medical_Genetics_65_74=2018,EXTENSIVE
f1243118,Medical_Genetics_75_+=2018,EXTENSIVE
f1243218,Medical_Genetics_Total_Patient_Care=2018,EXTENSIVE
f1243318,Medical_Genetics_Patient_Care_Office_Based=2018,EXTENSIVE
f1243618,Medical_Genetics_Patient_Care_Hospital_Full_Time_Staff=2018,EXTENSIVE
f1243718,Medical_Genetics_Administration=2018,EXTENSIVE
f1243818,Medical_Genetics_Teaching=2018,EXTENSIVE
f1243918,Medical_Genetics_Research=2018,EXTENSIVE
f1244018,Medical_Genetics_Other=2018,EXTENSIVE
f1244200,Rural_Farm_Population=2000,EXTENSIVE
f1248115,Farming_Dependent_Typology_Code=2015,INTENSIVE
f1248215,Mining_Dependent_Typology_Code=2015,INTENSIVE
f1248315,Manufacturing_Dependent_Typology_Code=2015,INTENSIVE
f1248415,Federal_State_Government_Dependent_Typology_Code=2015,INTENSIVE
f1248615,Nonspecializd_Dependent_Typology_Code=2015,INTENSIVE
f1248715,Retirement_Destination_Typology_Code=2015,INTENSIVE
f1249014,Persistent_Poverty_Typology_Code=2014,INTENSIVE
f1249210,Health_Professions_Shortage_Area_Code_Mental_Health_12_10=2010,INTENSIVE
f1249215,Health_Professions_Shortage_Area_Code_Mental_Health_06_15=2015,INTENSIVE
f1249216,Health_Professions_Shortage_Area_Code_Mental_Health_05_16=2016,INTENSIVE
f1249217,Health_Professions_Shortage_Area_Code_Mental_Health_05_17=2017,INTENSIVE
f1249218,Health_Professions_Shortage_Area_Code_Mental_Health_05_18=2018,INTENSIVE
f1249219,Health_Professions_Shortage_Area_Code_Mental_Health_05_19=2019,INTENSIVE
f1249220,Health_Professions_Shortage_Area_Code_Mental_Health_05_20=2020,INTENSIVE
f1249918,M.D.'s_Total_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1250018,Medical_Doctors_Total_General_Practice_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1250118,Medical_Doctors_Family_Medical_Medicine_General_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1250218,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1250318,Medical_Medicine_Specialty_Total_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1250418,Allergy&Immunology_Hospital_Resident=2018,EXTENSIVE
f1250518,Cardiovas_Disease_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1250618,Dermatology_Patient_Care_Hospital_Resident=2018,EXTENSIVE
f1250718,Gastroenterology_Patient_Care_Hospital_Resident=2018,EXTENSIVE
