k,merge_gap
200,0.0002820736957920289
242,0.00024948354909137826
247,0.0002467523605236277
289,0.00023490055435693158
373,0.0002262035835842724
385,0.00019716546668879786
162,0.00019007721138164513
270,0.0001804950341859346
377,0.00017343903780253633
335,0.00012099881614480168
76,0.0001134993961700026
370,0.00011120556576926788
309,0.0001024717636073369
265,8.156003642278975e-05
354,7.94790341303031e-05
390,7.733213390048732e-05
