metric,asedx_p_2017,LP_asedx_p_2017,asedx_p_2017_GE65,LP_asedx_p_2017_GE65,asedx_p_2017_LT65,LP_asedx_p_2017_LT65,asedx_p_2018,LP_asedx_p_2018,asedx_p_2018_GE65,LP_asedx_p_2018_GE65,asedx_p_2018_LT65,LP_asedx_p_2018_LT65,asedx_p_2019,LP_asedx_p_2019,asedx_p_2019_GE65,LP_asedx_p_2019_GE65,asedx_p_2019_LT65,LP_asedx_p_2019_LT65,asedx_p_2020,LP_asedx_p_2020,asedx_p_2020-2023,LP_asedx_p_2020-2023,asedx_p_2020-2023_GE65,LP_asedx_p_2020-2023_GE65,asedx_p_2020-2023_LT65,LP_asedx_p_2020-2023_LT65,asedx_p_2020_GE65,LP_asedx_p_2020_GE65,asedx_p_2020_LT65,LP_asedx_p_2020_LT65,asedx_p_2021,LP_asedx_p_2021,asedx_p_2021_GE65,LP_asedx_p_2021_GE65,asedx_p_2021_LT65,LP_asedx_p_2021_LT65,asedx_p_2022,LP_asedx_p_2022,asedx_p_2022_GE65,LP_asedx_p_2022_GE65,asedx_p_2022_LT65,LP_asedx_p_2022_LT65,asedx_p_2023,LP_asedx_p_2023,asedx_p_2023_GE65,LP_asedx_p_2023_GE65,asedx_p_2023_LT65,LP_asedx_p_2023_LT65,asedx_p_2024,LP_asedx_p_2024,asedx_p_2024_GE65,LP_asedx_p_2024_GE65,asedx_p_2024_LT65,LP_asedx_p_2024_LT65,Sum_|LP|_LP<=-5.0
f1440814,-0.039103,-0.29,0.000769,-0.004,-0.072949,-0.655,-0.009282,-0.057,0.011857,-0.074,-0.027731,-0.192,0.024577,-0.167,-0.03286,-0.235,0.096984,-0.985,0.342092,-8.459,0.412859,-12.344,0.32177,-7.509,0.407676,-12.026,0.312472,-7.097,0.326575,-7.727,0.459948,-15.488,0.363961,-9.56,0.433327,-13.651,0.301648,-6.635,0.20475,-3.276,0.28982,-6.151,0.216106,-3.602,0.115775,-1.286,0.248277,-4.619,0.213411,-3.523,0.166012,-2.291,0.207078,-3.341,106.647
f1332215,-0.018054,-0.118,0.017262,-0.112,-0.060692,-0.51,-0.012384,-0.078,0.00937,-0.058,-0.028986,-0.202,0.00739,-0.045,-0.046106,-0.357,0.085399,-0.818,0.338097,-8.267,0.39221,-11.112,0.305956,-6.817,0.385081,-10.706,0.306599,-6.844,0.331175,-7.94,0.466414,-15.959,0.373442,-10.065,0.438845,-14.019,0.278828,-5.721,0.188206,-2.832,0.264944,-5.203,0.180407,-2.634,0.090367,-0.888,0.20959,-3.413,0.174586,-2.492,0.137534,-1.685,0.163385,-2.231,102.653
f1332315,-0.012411,-0.078,0.023439,-0.158,-0.05926,-0.494,-0.008641,-0.053,0.01366,-0.087,-0.02919,-0.204,0.000997,-0.006,-0.053676,-0.434,0.084936,-0.812,0.36162,-9.438,0.382625,-10.569,0.291229,-6.208,0.38889,-10.922,0.327403,-7.765,0.35478,-9.088,0.452458,-14.955,0.356221,-9.161,0.433151,-13.639,0.262762,-5.125,0.169758,-2.378,0.261025,-5.062,0.161522,-2.188,0.066178,-0.573,0.211043,-3.454,0.150362,-1.946,0.109571,-1.182,0.1598,-2.15,101.932
f1440014,0.018269,-0.119,-0.024524,-0.167,0.079195,-0.735,0.012864,-0.081,0.005767,-0.035,0.003465,-0.021,-0.007481,-0.046,0.039331,-0.292,-0.078879,-0.731,-0.279017,-5.728,-0.393031,-11.159,-0.31588,-7.246,-0.383712,-10.629,-0.235416,-4.195,-0.316918,-7.292,-0.529608,-21.128,-0.440845,-14.153,-0.492551,-17.968,-0.283451,-5.9,-0.217074,-3.63,-0.236754,-4.238,-0.178458,-2.586,-0.114565,-1.265,-0.174662,-2.494,-0.190342,-2.887,-0.156104,-2.069,-0.179149,-2.603,101.203
f1538414,-0.062353,-0.529,-0.021421,-0.143,-0.081584,-0.766,-0.019487,-0.128,-0.014012,-0.089,-0.001977,-0.012,0.040693,-0.305,-0.003107,-0.018,0.074537,-0.675,0.204687,-3.274,0.414722,-12.459,0.370679,-9.916,0.326809,-7.738,0.196391,-3.047,0.179841,-2.62,0.489797,-17.748,0.428225,-13.317,0.402111,-11.692,0.356514,-9.176,0.301372,-6.624,0.250812,-4.705,0.25704,-4.921,0.206472,-3.324,0.187166,-2.805,0.29459,-6.344,0.276697,-5.64,0.193604,-2.973,100.654
f1447914,0.017038,-0.11,-0.021577,-0.144,0.071979,-0.643,0.008643,-0.053,0.00764,-0.047,-0.006526,-0.04,2.7e-05,-0.0,0.03734,-0.274,-0.060301,-0.506,-0.289002,-6.119,-0.399876,-11.559,-0.351891,-8.942,-0.329223,-7.849,-0.257037,-4.921,-0.295078,-6.364,-0.536805,-21.787,-0.470324,-16.249,-0.459891,-15.484,-0.292067,-6.242,-0.256621,-4.906,-0.182261,-2.681,-0.172186,-2.435,-0.139602,-1.725,-0.115114,-1.275,-0.19351,-2.97,-0.182967,-2.698,-0.130808,-1.556,100.595
f1434614,0.061717,-0.522,0.027636,-0.191,0.072219,-0.646,0.01431,-0.091,0.003063,-0.018,0.015444,-0.099,-0.040091,-0.299,0.001141,-0.007,-0.079479,-0.739,-0.154211,-2.028,-0.382421,-10.557,-0.346708,-8.684,-0.292946,-6.277,-0.147472,-1.885,-0.137272,-1.68,-0.511914,-19.571,-0.452315,-14.945,-0.435471,-13.793,-0.314914,-7.204,-0.263998,-5.169,-0.225465,-3.883,-0.227199,-3.936,-0.195267,-3.017,-0.130937,-1.558,-0.266463,-5.259,-0.263001,-5.133,-0.146069,-1.856,96.592
f1542114,-0.049453,-0.39,-0.018122,-0.118,-0.061565,-0.52,-0.000324,-0.002,0.015372,-0.099,-0.015098,-0.097,0.032234,-0.23,-0.013991,-0.089,0.075995,-0.693,0.361303,-9.422,0.404168,-11.815,0.326472,-7.723,0.353903,-9.043,0.335639,-8.15,0.324928,-7.652,0.453614,-15.036,0.359978,-9.353,0.398526,-11.48,0.288189,-6.086,0.205202,-3.289,0.235508,-4.198,0.193419,-2.968,0.108785,-1.169,0.190627,-2.894,0.195935,-3.035,0.169025,-2.36,0.145254,-1.839,95.76
f1451414,0.049478,-0.39,0.017826,-0.116,0.060839,-0.512,0.012653,-0.08,0.020383,-0.135,-0.011466,-0.072,-0.015728,-0.101,0.004659,-0.028,-0.036676,-0.268,-0.137809,-1.69,-0.377074,-10.262,-0.372371,-10.007,-0.249572,-4.663,-0.124539,-1.44,-0.142592,-1.785,-0.494707,-18.141,-0.466288,-15.95,-0.401659,-11.665,-0.327149,-7.754,-0.325989,-7.7,-0.157942,-2.109,-0.231773,-4.079,-0.237086,-4.249,-0.084013,-0.799,-0.27569,-5.601,-0.290033,-6.16,-0.11473,-1.268,93.24
f1447114,0.038519,-0.285,-0.001357,-0.008,0.079687,-0.741,0.00795,-0.049,0.010207,-0.063,-0.012651,-0.08,-0.0142,-0.09,0.020885,-0.139,-0.06027,-0.505,-0.244572,-4.495,-0.396387,-11.354,-0.353914,-9.044,-0.317669,-7.326,-0.220895,-3.744,-0.24436,-4.487,-0.516007,-19.923,-0.459587,-15.462,-0.426948,-13.234,-0.306708,-6.849,-0.266792,-5.271,-0.200653,-3.163,-0.19644,-3.048,-0.162889,-2.219,-0.128836,-1.519,-0.229503,-4.008,-0.218806,-3.681,-0.149744,-1.932,88.463
f1440314,-0.024108,-0.163,0.020416,-0.135,-0.077911,-0.718,-0.01674,-0.108,-0.00234,-0.014,-0.023711,-0.16,0.013547,-0.086,-0.041263,-0.31,0.095478,-0.962,0.252149,-4.751,0.387024,-10.816,0.321325,-7.489,0.35468,-9.083,0.220863,-3.743,0.265905,-5.238,0.507345,-19.183,0.425317,-13.129,0.466562,-15.97,0.294349,-6.334,0.234024,-4.151,0.23154,-4.072,0.207253,-3.346,0.146901,-1.873,0.178486,-2.587,0.195451,-3.022,0.16858,-2.35,0.158792,-2.128,87.242
f1442014,-0.059896,-0.501,-0.034891,-0.253,-0.055916,-0.457,-0.023051,-0.155,-0.018028,-0.118,-0.016561,-0.107,0.050894,-0.405,0.026855,-0.185,0.064204,-0.55,0.026507,-0.182,0.320336,-7.444,0.344714,-8.587,0.170783,-2.402,0.036479,-0.267,0.003414,-0.02,0.408961,-12.105,0.398473,-11.477,0.320722,-7.462,0.315297,-7.221,0.330515,-7.909,0.142144,-1.776,0.263608,-5.155,0.294585,-6.344,0.067252,-0.586,0.287466,-6.058,0.314835,-7.2,0.10354,-1.085,86.962
