metric,asedx_p_2017,LP_asedx_p_2017,asedx_p_2017_GE65,LP_asedx_p_2017_GE65,asedx_p_2017_LT65,LP_asedx_p_2017_LT65,asedx_p_2018,LP_asedx_p_2018,asedx_p_2018_GE65,LP_asedx_p_2018_GE65,asedx_p_2018_LT65,LP_asedx_p_2018_LT65,asedx_p_2019,LP_asedx_p_2019,asedx_p_2019_GE65,LP_asedx_p_2019_GE65,asedx_p_2019_LT65,LP_asedx_p_2019_LT65,asedx_p_2020,LP_asedx_p_2020,asedx_p_2020-2023,LP_asedx_p_2020-2023,asedx_p_2020-2023_GE65,LP_asedx_p_2020-2023_GE65,asedx_p_2020-2023_LT65,LP_asedx_p_2020-2023_LT65,asedx_p_2020_GE65,LP_asedx_p_2020_GE65,asedx_p_2020_LT65,LP_asedx_p_2020_LT65,asedx_p_2021,LP_asedx_p_2021,asedx_p_2021_GE65,LP_asedx_p_2021_GE65,asedx_p_2021_LT65,LP_asedx_p_2021_LT65,asedx_p_2022,LP_asedx_p_2022,asedx_p_2022_GE65,LP_asedx_p_2022_GE65,asedx_p_2022_LT65,LP_asedx_p_2022_LT65,asedx_p_2023,LP_asedx_p_2023,asedx_p_2023_GE65,LP_asedx_p_2023_GE65,asedx_p_2023_LT65,LP_asedx_p_2023_LT65,asedx_p_2024,LP_asedx_p_2024,asedx_p_2024_GE65,LP_asedx_p_2024_GE65,asedx_p_2024_LT65,LP_asedx_p_2024_LT65,Sum_|LP|_LP<=-5.0
f1156910,0.027336,-0.189,0.080348,-0.75,-0.071921,-0.642,0.019682,-0.13,0.013356,-0.085,0.019069,-0.125,-0.031606,-0.224,-0.073897,-0.667,0.060905,-0.512,0.400521,-11.597,0.241469,-4.392,0.156063,-2.068,0.331469,-7.954,0.34336,-8.52,0.43309,-13.635,0.245529,-4.526,0.163182,-2.226,0.314128,-7.169,0.143668,-1.807,0.097644,-0.995,0.165817,-2.286,0.049541,-0.391,-0.017608,-0.115,0.157664,-2.103,-0.018226,-0.119,-0.079915,-0.744,0.130921,-1.558,48.875
f1158210,0.066551,-0.577,0.094175,-0.943,-0.028469,-0.198,0.009366,-0.058,0.007444,-0.045,0.01106,-0.069,-0.047249,-0.368,-0.072349,-0.648,0.029406,-0.206,0.372858,-10.033,0.202323,-3.209,0.116848,-1.304,0.286166,-6.006,0.307813,-6.896,0.424597,-13.082,0.259983,-5.025,0.165406,-2.277,0.326181,-7.709,0.087464,-0.847,0.054745,-0.445,0.09247,-0.918,0.007497,-0.046,-0.051842,-0.414,0.106373,-1.13,-0.065279,-0.562,-0.115286,-1.278,0.075437,-0.686,48.751
f1322415,-0.017603,-0.115,0.002173,-0.013,-0.036243,-0.265,-0.000406,-0.002,0.009865,-0.061,-0.009523,-0.059,0.006125,-0.037,-0.022819,-0.153,0.044488,-0.341,0.234433,-4.164,0.444578,-14.408,0.358528,-9.279,0.240633,-4.364,0.215478,-3.583,0.219141,-3.691,0.306844,-6.855,0.246468,-4.558,0.277023,-5.652,0.316205,-7.261,0.230231,-4.031,0.26358,-5.154,0.207238,-3.346,0.072529,-0.65,0.205218,-3.289,0.205547,-3.298,0.169887,-2.381,0.103233,-1.081,48.609
f1467515,-0.000566,-0.003,-0.0209,-0.139,0.042703,-0.324,0.017189,-0.112,0.024399,-0.166,-0.012078,-0.076,0.025556,-0.175,0.036477,-0.267,-0.01713,-0.111,-0.105546,-1.117,-0.284607,-5.945,-0.305095,-6.78,-0.134714,-1.63,-0.110498,-1.197,-0.076373,-0.698,-0.41388,-12.407,-0.409072,-12.111,-0.288491,-6.098,-0.247238,-4.584,-0.265405,-5.22,-0.077045,-0.707,-0.155014,-2.045,-0.192966,-2.956,0.013239,-0.084,-0.190643,-2.895,-0.218842,-3.683,-0.048244,-0.378,48.561
f1447614,0.066206,-0.573,0.095659,-0.965,-0.023805,-0.161,0.033198,-0.238,0.034271,-0.247,0.00952,-0.059,-0.063433,-0.541,-0.093337,-0.931,0.027922,-0.194,0.439876,-14.088,0.047492,-0.37,-0.06112,-0.515,0.249579,-4.663,0.368059,-9.776,0.493145,-18.015,-0.000235,-0.001,-0.077914,-0.718,0.13404,-1.617,-0.06745,-0.588,-0.126994,-1.485,0.07992,-0.744,-0.145564,-1.846,-0.241771,-4.402,0.122825,-1.409,-0.221024,-3.748,-0.300854,-6.602,0.060873,-0.512,48.481
f1166610,0.05782,-0.478,0.087237,-0.844,-0.030832,-0.218,0.008772,-0.054,0.008912,-0.055,0.004667,-0.028,-0.043004,-0.327,-0.071038,-0.631,0.035643,-0.259,0.381608,-10.512,0.207565,-3.355,0.134301,-1.622,0.266802,-5.271,0.324973,-7.654,0.411363,-12.251,0.265669,-5.23,0.17874,-2.593,0.322571,-7.545,0.086383,-0.832,0.061908,-0.524,0.076915,-0.705,0.001042,-0.006,-0.045877,-0.354,0.080444,-0.751,-0.057723,-0.477,-0.097469,-0.992,0.056817,-0.467,48.463
f1446214,-0.044309,-0.339,-0.069744,-0.616,0.032798,-0.234,-0.023381,-0.158,-0.033165,-0.238,-0.005238,-0.031,0.04904,-0.386,0.086536,-0.834,-0.037078,-0.272,-0.434089,-13.701,-0.182996,-2.699,-0.052843,-0.425,-0.330931,-7.929,-0.36559,-9.646,-0.480276,-17.003,-0.197419,-3.075,-0.090657,-0.892,-0.247588,-4.596,-0.044113,-0.337,0.052026,-0.416,-0.153419,-2.011,0.035647,-0.259,0.16592,-2.288,-0.195951,-3.035,0.091686,-0.907,0.170582,-2.397,-0.120566,-1.369,48.279
f1392115,0.060224,-0.505,0.089226,-0.872,-0.029774,-0.209,0.006009,-0.036,0.003886,-0.023,0.008455,-0.052,-0.041167,-0.309,-0.066898,-0.582,0.03174,-0.225,0.37325,-10.054,0.216591,-3.616,0.146115,-1.857,0.267749,-5.306,0.313988,-7.163,0.410986,-12.228,0.277737,-5.679,0.192851,-2.953,0.328698,-7.825,0.100958,-1.045,0.081336,-0.763,0.07639,-0.699,0.016048,-0.103,-0.025743,-0.176,0.078276,-0.723,-0.049235,-0.388,-0.086615,-0.835,0.056454,-0.463,48.255
f1157910,0.06068,-0.51,0.092543,-0.919,-0.035297,-0.256,0.013039,-0.082,0.009746,-0.06,0.014878,-0.095,-0.048711,-0.383,-0.076439,-0.699,0.03194,-0.227,0.354834,-9.09,0.21817,-3.663,0.135338,-1.642,0.29216,-6.245,0.289969,-6.157,0.411562,-12.264,0.28433,-5.934,0.191589,-2.92,0.342213,-8.465,0.108507,-1.165,0.078264,-0.723,0.100607,-1.04,0.031017,-0.219,-0.024355,-0.165,0.11064,-1.2,-0.046061,-0.356,-0.093868,-0.939,0.081855,-0.77,48.155
f1392015,0.063444,-0.541,0.091778,-0.908,-0.02848,-0.198,0.005811,-0.035,0.003172,-0.019,0.010159,-0.063,-0.045573,-0.351,-0.070255,-0.622,0.028353,-0.197,0.36299,-9.51,0.221397,-3.759,0.149424,-1.926,0.273806,-5.53,0.302149,-6.656,0.407571,-12.02,0.288645,-6.104,0.201668,-3.19,0.33843,-8.283,0.10902,-1.173,0.088886,-0.867,0.081746,-0.769,0.025577,-0.175,-0.016897,-0.109,0.084081,-0.8,-0.043453,-0.331,-0.082001,-0.772,0.06287,-0.535,48.103
f1492210,0.082652,-0.781,0.052027,-0.416,0.068619,-0.602,0.019263,-0.127,0.021058,-0.14,-0.000298,-0.002,-0.022771,-0.153,-0.003453,-0.02,-0.039207,-0.291,0.029232,-0.205,-0.243194,-4.449,-0.285756,-5.99,-0.101941,-1.06,0.003915,-0.023,0.074875,-0.679,-0.26277,-5.125,-0.302941,-6.689,-0.143666,-1.807,-0.262167,-5.103,-0.284426,-5.938,-0.11894,-1.341,-0.237666,-4.268,-0.274226,-5.546,-0.065874,-0.569,-0.298485,-6.504,-0.310333,-7.004,-0.150992,-1.959,47.899
f1553015,0.028618,-0.199,0.032094,-0.228,-0.001698,-0.01,-0.004978,-0.03,0.003467,-0.021,-0.005325,-0.032,-0.036306,-0.265,-0.048791,-0.383,0.002385,-0.014,0.233485,-4.133,0.280084,-5.769,0.242817,-4.436,0.219931,-3.715,0.199162,-3.122,0.258384,-4.969,0.479412,-16.937,0.405973,-11.923,0.425289,-13.127,0.158599,-2.123,0.146607,-1.867,0.061254,-0.516,0.07013,-0.62,0.065518,-0.565,0.006906,-0.042,0.074191,-0.671,0.083429,-0.791,0.019495,-0.128,47.756
f1530215,0.05634,-0.462,0.055192,-0.45,0.022172,-0.148,0.011603,-0.073,0.0305,-0.215,-0.022788,-0.153,-0.041505,-0.313,-0.06141,-0.518,0.010168,-0.063,0.497086,-18.334,0.064253,-0.551,-0.001069,-0.006,0.146234,-1.859,0.46818,-16.089,0.42795,-13.299,-0.028026,-0.195,-0.064118,-0.549,0.011505,-0.072,-0.073667,-0.664,-0.124133,-1.433,0.028264,-0.197,-0.156764,-2.083,-0.234273,-4.159,0.055169,-0.449,-0.202189,-3.205,-0.235896,-4.211,-0.037179,-0.273,47.722
f1467715,0.009489,-0.059,-0.006001,-0.036,0.034847,-0.252,0.018344,-0.12,0.022359,-0.15,-0.005131,-0.031,0.015811,-0.102,0.024677,-0.168,-0.015285,-0.098,-0.08112,-0.76,-0.275982,-5.613,-0.310408,-7.008,-0.101085,-1.047,-0.093641,-0.935,-0.039422,-0.293,-0.40424,-11.819,-0.410351,-12.189,-0.266451,-5.258,-0.245831,-4.537,-0.274583,-5.56,-0.057262,-0.472,-0.154543,-2.035,-0.206986,-3.339,0.042871,-0.325,-0.200314,-3.153,-0.237925,-4.276,-0.028522,-0.199,47.447
f1344610,-0.073986,-0.668,-0.093161,-0.928,0.013603,-0.086,-0.025907,-0.178,-0.03534,-0.257,-0.004571,-0.027,0.063616,-0.543,0.094752,-0.952,-0.02384,-0.161,-0.414318,-12.434,-0.146062,-1.856,-0.037937,-0.28,-0.265632,-5.228,-0.345881,-8.644,-0.464453,-15.815,-0.207408,-3.351,-0.099668,-1.025,-0.267315,-5.29,-0.005666,-0.034,0.054725,-0.445,-0.066812,-0.581,0.080491,-0.752,0.173838,-2.474,-0.104838,-1.106,0.142043,-1.774,0.195896,-3.034,-0.038712,-0.287,47.411
f1158110,0.077131,-0.708,0.101286,-1.05,-0.020687,-0.137,0.008552,-0.053,0.006844,-0.042,0.012047,-0.076,-0.059273,-0.494,-0.081355,-0.763,0.019667,-0.13,0.354552,-9.076,0.201564,-3.188,0.114426,-1.263,0.289518,-6.139,0.286759,-6.03,0.418824,-12.715,0.26976,-5.38,0.174259,-2.484,0.333549,-8.051,0.0918,-0.908,0.059358,-0.495,0.09562,-0.964,0.013666,-0.087,-0.045236,-0.348,0.109884,-1.187,-0.065287,-0.563,-0.116282,-1.295,0.079822,-0.743,47.391
f1158710,0.070732,-0.628,0.098092,-1.001,-0.024325,-0.165,0.004124,-0.025,0.00358,-0.021,0.005691,-0.034,-0.052266,-0.419,-0.077706,-0.715,0.027695,-0.192,0.368962,-9.824,0.206259,-3.318,0.137398,-1.682,0.2609,-5.058,0.309674,-6.976,0.408412,-12.071,0.27329,-5.511,0.191463,-2.916,0.325805,-7.692,0.090836,-0.895,0.07381,-0.666,0.068687,-0.603,0.003242,-0.019,-0.035678,-0.26,0.069781,-0.616,-0.063264,-0.539,-0.099791,-1.027,0.049073,-0.386,47.132
f1553615,-0.015596,-0.1,0.004787,-0.029,-0.037177,-0.273,0.000424,-0.002,0.008294,-0.051,-0.006193,-0.037,0.006388,-0.039,-0.021156,-0.141,0.04345,-0.331,0.204962,-3.282,0.440114,-14.104,0.353997,-9.048,0.224421,-3.851,0.186109,-2.778,0.19691,-3.061,0.29332,-6.292,0.236472,-4.229,0.264021,-5.17,0.320191,-7.438,0.237386,-4.259,0.260582,-5.046,0.210873,-3.449,0.069649,-0.614,0.209517,-3.411,0.204546,-3.27,0.168051,-2.338,0.098832,-1.013,47.098
f1157510,0.045636,-0.352,0.079047,-0.733,-0.041203,-0.31,0.006002,-0.036,-2.6e-05,-0.0,0.016747,-0.108,-0.029258,-0.205,-0.054989,-0.448,0.03496,-0.253,0.342136,-8.461,0.247574,-4.595,0.178591,-2.59,0.284317,-5.934,0.28381,-5.914,0.386209,-10.77,0.31298,-7.119,0.227854,-3.957,0.350811,-8.888,0.146567,-1.866,0.125807,-1.463,0.102977,-1.077,0.064029,-0.548,0.023342,-0.157,0.097277,-0.989,-5.1e-05,-0.0,-0.038662,-0.286,0.084527,-0.806,47.086
f1157610,0.045173,-0.348,0.078517,-0.726,-0.041432,-0.312,0.006213,-0.038,0.000669,-0.004,0.015829,-0.102,-0.028659,-0.2,-0.054762,-0.445,0.036025,-0.263,0.341852,-8.447,0.247328,-4.587,0.178239,-2.581,0.28425,-5.931,0.283391,-5.897,0.386159,-10.767,0.313429,-7.139,0.228256,-3.969,0.350945,-8.895,0.145995,-1.855,0.125363,-1.455,0.102423,-1.068,0.063738,-0.545,0.023111,-0.156,0.097199,-0.988,-0.000538,-0.003,-0.039321,-0.292,0.084619,-0.808,47.076
f1359210,0.119684,-1.354,0.079357,-0.737,0.097971,-1.0,0.004238,-0.025,0.021078,-0.14,-0.034539,-0.25,-0.095149,-0.957,-0.078149,-0.721,-0.059865,-0.501,0.30955,-6.97,-0.125108,-1.45,-0.143553,-1.805,-0.034811,-0.252,0.272193,-5.47,0.31441,-7.182,-0.132088,-1.58,-0.139024,-1.714,-0.0655,-0.565,-0.23233,-4.097,-0.213946,-3.538,-0.14884,-1.914,-0.293118,-6.284,-0.289278,-6.13,-0.130022,-1.541,-0.324595,-7.637,-0.318323,-7.355,-0.169382,-2.369,47.028
POPDEN_URB,0.042442,-0.321,0.047127,-0.367,0.006014,-0.036,0.036761,-0.269,0.051727,-0.413,-0.018638,-0.122,-0.057566,-0.475,-0.076227,-0.696,0.018148,-0.119,0.42257,-12.953,-0.012953,-0.082,-0.089148,-0.871,0.165168,-2.271,0.39227,-11.115,0.385995,-10.758,-0.112187,-1.225,-0.149515,-1.928,-0.003524,-0.021,-0.11662,-1.3,-0.173926,-2.476,0.067795,-0.592,-0.203141,-3.231,-0.289634,-6.144,0.097526,-0.993,-0.220082,-3.72,-0.283207,-5.89,0.040805,-0.306,46.86
f1356110,0.036558,-0.267,0.026015,-0.178,0.026554,-0.183,0.014566,-0.093,0.013881,-0.088,0.006568,-0.04,-0.033096,-0.237,-0.025882,-0.177,-0.028646,-0.2,0.421368,-12.876,-0.023228,-0.157,-0.085646,-0.822,0.13073,-1.554,0.379787,-10.411,0.415787,-12.525,-0.109852,-1.187,-0.124579,-1.441,-0.049117,-0.387,-0.143676,-1.807,-0.187785,-2.821,0.028422,-0.198,-0.218592,-3.675,-0.275896,-5.609,0.032096,-0.229,-0.220395,-3.729,-0.271342,-5.438,0.020315,-0.134,46.859
f1387610,0.027736,-0.192,0.027089,-0.187,0.011794,-0.074,0.046272,-0.358,0.061004,-0.513,-0.015423,-0.099,-0.057039,-0.47,-0.070495,-0.625,0.007098,-0.043,0.424891,-13.101,-0.024147,-0.164,-0.091492,-0.904,0.137566,-1.685,0.401389,-11.649,0.371822,-9.977,-0.130777,-1.555,-0.160769,-2.172,-0.033398,-0.24,-0.129673,-1.534,-0.185405,-2.76,0.05578,-0.456,-0.214783,-3.563,-0.293503,-6.3,0.074688,-0.677,-0.226916,-3.928,-0.278965,-5.726,0.013188,-0.083,46.753
f1317415,0.065856,-0.569,0.05151,-0.411,0.040964,-0.308,0.015586,-0.1,0.012018,-0.075,0.007211,-0.044,-0.030875,-0.218,-0.016289,-0.105,-0.032522,-0.232,0.004488,-0.027,-0.268649,-5.339,-0.304989,-6.776,-0.079366,-0.737,-0.023981,-0.162,0.062874,-0.535,-0.394069,-11.219,-0.396566,-11.365,-0.249212,-4.651,-0.24815,-4.615,-0.257802,-4.948,-0.084845,-0.811,-0.195237,-3.016,-0.23911,-4.314,0.021666,-0.145,-0.263999,-5.169,-0.307394,-6.878,-0.040458,-0.303,46.746
POPDEN_COU,0.029271,-0.205,0.027977,-0.194,0.012853,-0.081,0.045821,-0.354,0.060935,-0.513,-0.016038,-0.103,-0.058148,-0.482,-0.071387,-0.636,0.00661,-0.04,0.423684,-13.024,-0.025913,-0.178,-0.093012,-0.926,0.135939,-1.654,0.400277,-11.583,0.370659,-9.915,-0.130683,-1.553,-0.160463,-2.165,-0.03389,-0.244,-0.131612,-1.571,-0.186714,-2.793,0.05374,-0.434,-0.216612,-3.616,-0.294983,-6.36,0.07336,-0.66,-0.228919,-3.99,-0.28091,-5.801,0.012205,-0.077,46.683
f1347310,0.04113,-0.309,0.079571,-0.74,-0.047035,-0.366,0.026576,-0.183,0.02028,-0.134,0.021898,-0.146,-0.041006,-0.308,-0.071598,-0.638,0.037722,-0.278,0.405358,-11.886,0.192987,-2.956,0.092255,-0.915,0.309943,-6.987,0.347366,-8.717,0.433087,-13.635,0.188153,-2.83,0.095386,-0.961,0.269793,-5.381,0.082213,-0.775,0.021984,-0.147,0.143312,-1.8,0.006231,-0.038,-0.083577,-0.793,0.160436,-2.164,-0.060512,-0.508,-0.13233,-1.584,0.1178,-1.321,46.606
f1446714,0.05667,-0.466,0.0959,-0.969,-0.043203,-0.329,0.028513,-0.199,0.023304,-0.157,0.021141,-0.141,-0.055961,-0.458,-0.088731,-0.865,0.034981,-0.253,0.431671,-13.542,0.132062,-1.579,0.02628,-0.181,0.293183,-6.287,0.36054,-9.382,0.485104,-17.378,0.103121,-1.079,0.020572,-0.136,0.20923,-3.402,0.022502,-0.151,-0.036082,-0.263,0.11924,-1.346,-0.065118,-0.561,-0.156434,-2.076,0.143641,-1.806,-0.134511,-1.626,-0.21193,-3.48,0.097674,-0.995,46.589
f1441714,0.064218,-0.55,0.091175,-0.899,-0.026144,-0.179,0.006254,-0.038,0.003831,-0.023,0.009246,-0.057,-0.044892,-0.345,-0.068593,-0.602,0.027383,-0.189,0.358214,-9.263,0.211086,-3.455,0.141808,-1.769,0.260638,-5.049,0.298866,-6.519,0.400086,-11.572,0.282257,-5.853,0.196261,-3.044,0.331766,-7.967,0.097433,-0.992,0.080171,-0.748,0.069115,-0.608,0.014912,-0.095,-0.024419,-0.166,0.072299,-0.647,-0.051263,-0.409,-0.086671,-0.836,0.051351,-0.409,46.223
f1489715,0.083234,-0.789,0.075029,-0.681,0.031542,-0.224,0.023072,-0.155,0.029454,-0.206,-0.00399,-0.024,-0.063669,-0.544,-0.065504,-0.565,-0.013747,-0.087,0.080641,-0.754,-0.220478,-3.731,-0.286517,-6.02,-0.01116,-0.07,0.039258,-0.292,0.149027,-1.917,-0.301033,-6.609,-0.334704,-8.105,-0.157292,-2.095,-0.230595,-4.042,-0.270363,-5.402,-0.040167,-0.3,-0.201737,-3.192,-0.270824,-5.419,0.048013,-0.376,-0.290148,-6.164,-0.339671,-8.342,-0.045378,-0.35,46.061
f1444614,0.059221,-0.494,0.09687,-0.983,-0.041076,-0.309,0.022786,-0.153,0.017813,-0.116,0.020222,-0.134,-0.055465,-0.453,-0.086442,-0.833,0.032989,-0.236,0.426547,-13.208,0.1528,-1.997,0.048653,-0.382,0.303388,-6.708,0.356556,-9.178,0.479017,-16.906,0.124541,-1.44,0.043133,-0.328,0.221625,-3.766,0.045624,-0.352,-0.011293,-0.071,0.128173,-1.506,-0.039432,-0.293,-0.130097,-1.542,0.154263,-2.029,-0.110129,-1.191,-0.18862,-2.842,0.11301,-1.239,46.0
f1550615,0.026534,-0.183,0.026502,-0.182,0.002428,-0.014,-0.003026,-0.018,0.002016,-0.012,-0.000305,-0.002,-0.037935,-0.28,-0.044204,-0.338,-0.007213,-0.044,0.211813,-3.476,0.271456,-5.443,0.235772,-4.207,0.211612,-3.471,0.180272,-2.631,0.236936,-4.244,0.471859,-16.363,0.398615,-11.485,0.418271,-12.681,0.151475,-1.969,0.140519,-1.744,0.057387,-0.473,0.07378,-0.665,0.070428,-0.624,0.007244,-0.044,0.081393,-0.764,0.090399,-0.888,0.02386,-0.161,45.972
f1318315,0.046082,-0.356,0.031207,-0.221,0.038483,-0.285,0.024881,-0.169,0.023154,-0.156,0.006254,-0.038,-0.019762,-0.13,-0.006935,-0.042,-0.028237,-0.196,-0.001489,-0.009,-0.264625,-5.192,-0.305865,-6.813,-0.077034,-0.707,-0.0293,-0.205,0.055279,-0.451,-0.387347,-10.834,-0.397023,-11.391,-0.243357,-4.454,-0.249226,-4.651,-0.266751,-5.269,-0.080329,-0.75,-0.187044,-2.802,-0.237168,-4.252,0.027395,-0.19,-0.251957,-4.745,-0.296172,-6.408,-0.038162,-0.282,45.907
f1488810,-0.084953,-0.812,-0.108303,-1.162,0.019807,-0.131,-0.008312,-0.051,-0.020149,-0.133,0.005081,-0.03,0.059591,-0.498,0.097271,-0.989,-0.038869,-0.288,-0.419151,-12.736,-0.133483,-1.606,-0.001532,-0.009,-0.31067,-7.019,-0.342064,-8.458,-0.487946,-17.601,-0.161098,-2.179,-0.045727,-0.353,-0.254223,-4.823,0.003831,-0.023,0.088456,-0.861,-0.116206,-1.293,0.071956,-0.643,0.194229,-2.989,-0.171291,-2.414,0.155049,-2.046,0.235257,-4.19,-0.090065,-0.884,45.814
f1158310,0.084664,-0.808,0.104447,-1.1,-0.012331,-0.078,0.006652,-0.04,0.004817,-0.029,0.011331,-0.071,-0.063793,-0.545,-0.081805,-0.769,0.011811,-0.074,0.353115,-9.004,0.188916,-2.85,0.104332,-1.098,0.276093,-5.617,0.285574,-5.983,0.416502,-12.57,0.259945,-5.024,0.166904,-2.311,0.322706,-7.551,0.079069,-0.733,0.05002,-0.396,0.082249,-0.775,0.000546,-0.003,-0.055347,-0.451,0.097673,-0.995,-0.079391,-0.737,-0.128361,-1.51,0.067788,-0.592,45.749
f1439214,0.050818,-0.404,0.078742,-0.729,-0.031698,-0.225,0.007953,-0.049,0.005651,-0.034,0.008637,-0.053,-0.036739,-0.269,-0.061146,-0.515,0.032328,-0.23,0.348583,-8.777,0.219127,-3.691,0.149948,-1.937,0.26102,-5.062,0.294004,-6.32,0.381709,-10.518,0.298212,-6.492,0.208976,-3.395,0.343593,-8.532,0.100989,-1.046,0.079631,-0.741,0.075483,-0.687,0.021985,-0.147,-0.019659,-0.13,0.074501,-0.675,-0.034811,-0.252,-0.066899,-0.582,0.051672,-0.413,45.701
f1157410,0.045957,-0.355,0.076844,-0.704,-0.038336,-0.283,0.006628,-0.04,0.000748,-0.004,0.016763,-0.109,-0.029957,-0.211,-0.053783,-0.435,0.032161,-0.229,0.331638,-7.962,0.244746,-4.5,0.173933,-2.477,0.283801,-5.913,0.273784,-5.53,0.377609,-10.291,0.311965,-7.075,0.2234,-3.82,0.350384,-8.867,0.145502,-1.844,0.122624,-1.406,0.104241,-1.096,0.067356,-0.587,0.024217,-0.164,0.101656,-1.056,0.00423,-0.025,-0.035806,-0.261,0.089405,-0.874,45.638
f1157310,0.046684,-0.362,0.077172,-0.709,-0.037769,-0.278,0.006565,-0.04,0.000978,-0.006,0.016471,-0.106,-0.030445,-0.215,-0.054223,-0.439,0.031979,-0.228,0.331835,-7.971,0.243845,-4.47,0.172685,-2.447,0.283542,-5.903,0.273624,-5.524,0.37851,-10.341,0.311658,-7.062,0.223099,-3.811,0.349743,-8.835,0.144001,-1.814,0.120834,-1.374,0.103764,-1.089,0.066276,-0.574,0.022851,-0.154,0.10131,-1.051,0.002922,-0.017,-0.037316,-0.274,0.089018,-0.869,45.636
f1156210,0.051464,-0.411,0.091845,-0.909,-0.048378,-0.379,0.022322,-0.15,0.014636,-0.093,0.024265,-0.165,-0.047941,-0.375,-0.078771,-0.729,0.036373,-0.266,0.384361,-10.666,0.189874,-2.875,0.09068,-0.892,0.313721,-7.152,0.316358,-7.267,0.441615,-14.206,0.210276,-3.432,0.120105,-1.361,0.293132,-6.285,0.086338,-0.831,0.036527,-0.267,0.135013,-1.636,0.003885,-0.023,-0.074498,-0.674,0.148109,-1.898,-0.074869,-0.679,-0.145083,-1.836,0.114019,-1.256,45.576
f1157210,0.049785,-0.393,0.078778,-0.729,-0.035274,-0.256,0.006976,-0.042,0.001182,-0.007,0.016886,-0.109,-0.033233,-0.238,-0.055759,-0.456,0.029304,-0.205,0.329296,-7.853,0.240274,-4.353,0.16491,-2.265,0.287878,-6.074,0.269727,-5.378,0.380048,-10.426,0.309019,-6.948,0.216976,-3.627,0.350901,-8.892,0.139933,-1.732,0.113322,-1.244,0.106431,-1.131,0.064824,-0.557,0.016338,-0.105,0.108962,-1.172,-0.000812,-0.005,-0.043863,-0.335,0.092785,-0.923,45.571
f1157110,0.050623,-0.402,0.079482,-0.739,-0.034532,-0.249,0.006693,-0.041,0.001661,-0.01,0.015599,-0.1,-0.034008,-0.245,-0.056995,-0.469,0.029733,-0.209,0.328633,-7.822,0.240144,-4.348,0.164475,-2.255,0.288288,-6.09,0.268973,-5.351,0.379734,-10.408,0.309229,-6.957,0.217228,-3.635,0.3511,-8.902,0.139869,-1.731,0.113225,-1.243,0.106987,-1.14,0.065207,-0.562,0.016619,-0.107,0.109517,-1.181,-0.001768,-0.01,-0.045053,-0.346,0.093106,-0.927,45.53
f1438914,0.022457,-0.151,0.050488,-0.401,-0.033006,-0.236,0.003628,-0.022,0.011799,-0.074,-0.013043,-0.082,-0.012191,-0.077,-0.045528,-0.351,0.05199,-0.416,0.456612,-15.249,0.234014,-4.15,0.178245,-2.581,0.246093,-4.545,0.425994,-13.172,0.405308,-11.883,0.228534,-3.978,0.158726,-2.126,0.263451,-5.149,0.088324,-0.859,0.058866,-0.49,0.081692,-0.768,0.006327,-0.038,-0.040539,-0.304,0.077816,-0.717,-0.014419,-0.092,-0.040397,-0.302,0.04538,-0.35,45.453
f1158510,0.084184,-0.802,0.105682,-1.119,-0.013825,-0.088,0.002115,-0.012,0.000812,-0.005,0.007847,-0.048,-0.059908,-0.501,-0.079666,-0.741,0.016067,-0.104,0.35509,-9.103,0.19219,-2.935,0.116906,-1.305,0.262462,-5.114,0.290862,-6.193,0.409694,-12.149,0.265525,-5.224,0.179973,-2.624,0.32164,-7.503,0.080859,-0.757,0.060924,-0.513,0.067491,-0.589,-0.00086,-0.005,-0.04616,-0.357,0.078799,-0.73,-0.07735,-0.711,-0.119482,-1.35,0.054074,-0.438,45.286
f1170515,0.021418,-0.143,-0.003009,-0.018,0.048711,-0.383,0.049216,-0.388,0.063436,-0.541,-0.010829,-0.067,-0.020953,-0.139,-0.015036,-0.096,-0.021965,-0.147,0.127147,-1.488,-0.213767,-3.533,-0.261536,-5.081,-0.058136,-0.482,0.107413,-1.147,0.13185,-1.575,-0.326097,-7.705,-0.350461,-8.87,-0.211261,-3.461,-0.243719,-4.466,-0.278376,-5.704,-0.070499,-0.625,-0.219889,-3.714,-0.279858,-5.761,0.006384,-0.039,-0.270521,-5.408,-0.301326,-6.622,-0.084483,-0.806,45.151
f1392315,-0.056711,-0.466,-0.087471,-0.847,0.035966,-0.262,-0.001059,-0.006,0.003123,-0.019,-0.011323,-0.071,0.038999,-0.289,0.064607,-0.555,-0.033539,-0.241,-0.339244,-8.322,-0.225444,-3.882,-0.156253,-2.072,-0.273662,-5.525,-0.280822,-5.798,-0.384926,-10.698,-0.293262,-6.29,-0.208555,-3.383,-0.340654,-8.389,-0.120325,-1.365,-0.101575,-1.055,-0.087999,-0.854,-0.040803,-0.306,-0.000734,-0.004,-0.089687,-0.878,0.022028,-0.147,0.061085,-0.514,-0.07637,-0.698,45.022
