metric,raw_year,pop_year,description
f1206718,2018,2018,Ophthalmology_75_+=2018
f1206818,2018,2018,Orthopedic_Surgery_65_74=2018
f1206918,2018,2018,Orthopedic_Surgery_75_+=2018
f1207018,2018,2018,Otolaryngology_65_74=2018
f1207118,2018,2018,Otolaryngology_75_+=2018
f1207218,2018,2018,Plastic_Surgery_65_74=2018
f1207318,2018,2018,Plastic_Surgery_75_+=2018
f1207418,2018,2018,Colon_&_Rectal_Surgery_65_74=2018
f1207518,2018,2018,Colon_&_Rectal_Surgery_75_+=2018
f1207618,2018,2018,Thoracic_Surgery_65_74=2018
f1207718,2018,2018,Thoracic_Surgery_75_+=2018
f1207818,2018,2018,Urology_65_74=2018
f1207918,2018,2018,Urology_75_+=2018
f1208018,2018,2018,Other_Specialty_Total_65_74=2018
f1208118,2018,2018,Other_Specialty_Total_75_+=2018
f1208218,2018,2018,Aerospace_Medicine_65_74=2018
f1208318,2018,2018,Aerospace_Medicine_75_+=2018
f1208418,2018,2018,Anesthesiology_65_74=2018
f1208518,2018,2018,Anesthesiology_75_+=2018
f1208618,2018,2018,Child_Psychiatry_65_74=2018
f1208718,2018,2018,Child_Psychiatry_75_+=2018
f1208818,2018,2018,Diagnostic_Radiology_65_74=2018
f1208918,2018,2018,Diagnostic_Radiology_75_+=2018
f1209018,2018,2018,Emergency_Medicine_65_74=2018
f1209118,2018,2018,Emergency_Medicine_75_+=2018
f1209218,2018,2018,Forensic_Pathology_65_74=2018
f1209318,2018,2018,Forensic_Pathology_75_+=2018
f1209418,2018,2018,Neurology_65_74=2018
f1209518,2018,2018,Neurology_75_+=2018
f1209618,2018,2018,Nuclear_Medicine_65_74=2018
f1209718,2018,2018,Nuclear_Medicine_75_+=2018
f1209818,2018,2018,Occupational_Medicine_65_74=2018
f1209918,2018,2018,Occupational_Medicine_75_+=2018
f1210018,2018,2018,Psychiatry_65_74=2018
f1210118,2018,2018,Psychiatry_75_+=2018
f1210218,2018,2018,Pathology_Anatomical_Clinic_65_74=2018
f1210318,2018,2018,Pathology_Anatomical_Clinic_75_+=2018
f1210418,2018,2018,Physical_Medical_Medicine_&_Rehabilitation_65_74=2018
f1210518,2018,2018,Physical_Medical_Medicine_&_Rehabilitation_75_+=2018
f1210618,2018,2018,General_Preventive_Medical_Medicine_65_74=2018
f1210718,2018,2018,General_Preventive_Medical_Medicine_75_+=2018
f1210818,2018,2018,Public_Health_65_74=2018
f1210918,2018,2018,Public_Health_75_+=2018
f1211018,2018,2018,Radiology_65_74=2018
f1211118,2018,2018,Radiology_75_+=2018
f1211218,2018,2018,Radiation_Oncology_65_74=2018
f1211318,2018,2018,Radiation_Oncology_75_+=2018
f1211418,2018,2018,Other_Specialty_65_74=2018
f1211518,2018,2018,Other_Specialty_75_+=2018
f1211618,2018,2018,Unspecified_65_74=2018
f1211718,2018,2018,Unspecified_75_+=2018
f1211818,2018,2018,Medical_Doctors_Inactive_65_74=2018
f1211918,2018,2018,Medical_Doctors_Inactive_75_+=2018
f1212018,2018,2018,Medical_Doctors_Not_Classified_65_74=2018
f1212118,2018,2018,Medical_Doctors_Not_Classified_75_+=2018
f1212818,2018,2018,Total_M.D.'s_Total_Non_Federal_&_Federal=2018
f1212918,2018,2018,Total_Active_M.D.s_Non_Federal_&_Federal=2018
f1213018,2018,2018,Other_Trainees_Full_Time=2018
f1213218,2018,2018,Other_Trainees_Partial_Time=2018
f1242518,2018,2018,Medical_Genetics_Total=2018
f1242618,2018,2018,Medical_Genetics_<_35=2018
f1242718,2018,2018,Medical_Genetics_35_44=2018
f1242818,2018,2018,Medical_Genetics_45_54=2018
f1242918,2018,2018,Medical_Genetics_55_64=2018
f1243018,2018,2018,Medical_Genetics_65_74=2018
f1243118,2018,2018,Medical_Genetics_75_+=2018
f1243218,2018,2018,Medical_Genetics_Total_Patient_Care=2018
f1243318,2018,2018,Medical_Genetics_Patient_Care_Office_Based=2018
f1243618,2018,2018,Medical_Genetics_Patient_Care_Hospital_Full_Time_Staff=2018
f1243718,2018,2018,Medical_Genetics_Administration=2018
f1243818,2018,2018,Medical_Genetics_Teaching=2018
f1243918,2018,2018,Medical_Genetics_Research=2018
f1244018,2018,2018,Medical_Genetics_Other=2018
f1244200,2000,2000,Rural_Farm_Population=2000
f1249918,2018,2018,M.D.'s_Total_Patient_Care_Hospital_Resident=2018
f1250018,2018,2018,Medical_Doctors_Total_General_Practice_Patient_Care_Hospital_Resident=2018
f1250118,2018,2018,Medical_Doctors_Family_Medical_Medicine_General_Patient_Care_Hospital_Resident=2018
f1250218,2018,2018,Medical_Doctors_Family_Medical_Medicine_Subspecialties_Patient_Care_Hospital_Resident=2018
f1250318,2018,2018,Medical_Medicine_Specialty_Total_Patient_Care_Hospital_Resident=2018
f1250418,2018,2018,Allergy&Immunology_Hospital_Resident=2018
f1250518,2018,2018,Cardiovas_Disease_Patient_Care_Hospital_Resident=2018
f1250618,2018,2018,Dermatology_Patient_Care_Hospital_Resident=2018
f1250718,2018,2018,Gastroenterology_Patient_Care_Hospital_Resident=2018
f1250818,2018,2018,General_Internal_Medical_Medicine_Patient_Care_Hospital_Resident=2018
f1250918,2018,2018,Internal_Medical_Medicine_Subspecialties_Patient_Care_Hospital_Resident=2018
f1251018,2018,2018,Pediatrics_General_Patient_Care_Hospital_Resident=2018
f1251118,2018,2018,Pediatric_Subspecialties_Patient_Care_Hospital_Resident=2018
f1251218,2018,2018,Pediatric_Cardiolgy_Patient_Care_Hospital_Resident=2018
f1251318,2018,2018,Pulmonary_Disease_Patient_Care_Hospital_Resident=2018
f1251418,2018,2018,Surgical_Specialty_Total_Patient_Care_Hospital_Resident=2018
f1251518,2018,2018,General_Surgical_Patient_Care_Hospital_Residents=2018
f1251618,2018,2018,Neurolgcal_Surgical_Patient_Care_Hospital_Resident=2018
f1251718,2018,2018,Obstetrics_Gynecology_General_Patient_Care_Hospital_Residents=2018
f1251818,2018,2018,Obstetrics_Gynecology_Subspecialties_Patient_Care_Hospital_Resident=2018
f1251918,2018,2018,Ophthalmolgy_Patient_Care_Hospital_Residents=2018
f1252018,2018,2018,Orthopedic_Surgical_Patient_Care_Hospital_Resident=2018
f1252118,2018,2018,Otolaryngolgy_Patient_Care_Hospital_Resident=2018
f1252218,2018,2018,Plastic_Surgical_Patient_Care_Hospital_Resident=2018
f1252318,2018,2018,Colon_Rectal_Surgical_Patient_Care_Hospital_Resident=2018
f1252418,2018,2018,Thoracic_Surgical_Patient_Care_Hospital_Resident=2018
f1252518,2018,2018,Urology_Patient_Care_Hospital_Residents=2018
f1252618,2018,2018,Other_Specialty_Total_Patient_Care_Hospital_Resident=2018
f1252718,2018,2018,Aerospace_Medical_Medicine_Patient_Care_Hospital_Resident=2018
f1252818,2018,2018,Anesthesiolgy_Patient_Care_Hospital_Resident=2018
f1252918,2018,2018,Child_Psychiatric_Patient_Care_Hospital_Residents=2018
f1253018,2018,2018,Diagnostic_Radiology_Patient_Care_Hospital_Resident=2018
f1253118,2018,2018,Emergency_Medical_Medicine_Patient_Care_Hospital_Resident=2018
f1253218,2018,2018,Forensic_Pathology_Anatomic_Clinical_Patient_Care_Hospital_Resident=2018
f1253318,2018,2018,Medical_Genetics_Patient_Care_Hospital_Resident=2018
f1253418,2018,2018,Neurology_Patient_Care_Hospital_Residents=2018
f1253518,2018,2018,Nuclear_Medical_Medicine_Patient_Care_Hospital_Residents=2018
f1253718,2018,2018,Psychiatry_Patient_Care_Hospital_Residents=2018
f1253818,2018,2018,Pathology_Anatomic_Clinical_Anatomical_Clinic_Patient_Care_Hospital_Resident=2018
f1253918,2018,2018,Physician_Medical_Medicine_Rehabilitation_Patient_Care_Hospital_Resident=2018
f1254018,2018,2018,General_Prevention_Medical_Medicine_Patient_Care_Hospital_Resident=2018
f1254118,2018,2018,Public_Health_Patient_Care_Hospital_Resident=2018
f1254218,2018,2018,Radiology_Patient_Care_Hospital_Residents=2018
f1254318,2018,2018,Radiation_Oncology_Patient_Care_Hospital_Resident=2018
f1254418,2018,2018,Other_Specialty_Patient_Care_Hospital_Residents=2018
f1254518,2018,2018,Unspecified_Patient_Care_Hospital_Residents=2018
f1254616,2017,2017,3_Year_Total_Births=2016-18
f1254716,2017,2017,3_Year_White_Male_Births=2016-18
f1254816,2017,2017,3_Year_White_Female_Births=2016-18
f1254916,2017,2017,3_Year_Black_Male_Births=2016-18
f1255016,2017,2017,3_Year_Black_Female_Births=2016-18
f1255116,2017,2017,3_Year_Other_Male_Births=2016-18
f1255216,2017,2017,3_Year_Other_Female_Births=2016-18
f1255316,2017,2017,3_Year_Total_Low_Birth_Weight_Birth=2016-18
f1255416,2017,2017,3_Year_White_Low_Birth_Weight_Birth=2016-18
f1255516,2017,2017,3_Year_Black_Low_Birth_Weight_Birth=2016-18
f1255616,2017,2017,3_Year_Other_Low_Birth_Weight_Birth=2016-18
f1255718,2018,2018,Total_Births=2018
f1255818,2018,2018,Total_Deaths=2018
f1256018,2018,2018,Other_Long_Term_Care_Beds_Set_Up=2018
f1256118,2018,2018,Other_Care_Beds_Set_Up=2018
f1256218,2018,2018,#_Hospital_with_General_Medical_Medicine_Surgical_Care_Adult=2018
f1256318,2018,2018,#_Hospital_with_General_Medical_Medicine_Surgical_Care_Pediatric=2018
f1256418,2018,2018,#_Hospital_with_Obstetric_Care=2018
f1256518,2018,2018,#_Hospital_with_Medical_Surgical_Intensive_Care=2018
f1256618,2018,2018,#_Hospital_with_Cardiac_Intensive_Care=2018
f1256718,2018,2018,#_Hospital_with_Neonatal_Intensive_Care=2018
f1256818,2018,2018,#_Hospital_with_Neonatal_Intermediate_Care=2018
f1256918,2018,2018,#_Hospital_with_Pediatric_Intensive_Care=2018
f1257018,2018,2018,#_Hospital_with_Burn_Care=2018
f1257118,2018,2018,#_Hospital_with_Other_Special_Care=2018
f1257218,2018,2018,#_Hospital_with_Physical_Rehabilitation_Care=2018
f1257318,2018,2018,#_Hospital_with_Alcohol_Drug_Abuse_Inpatient_Care=2018
f1257418,2018,2018,#_Hospital_with_Psychiatric_Care=2018
f1257518,2018,2018,#_Hospital_with_Skilled_Nursing_Care=2018
f1257618,2018,2018,#_Hospital_with_Intermediate_Nursing_Care=2018
f1257718,2018,2018,#_Hospital_with_Other_Long_Term_Care=2018
f1257818,2018,2018,#_Hospital_with_Other_Care=2018
f1257918,2018,2018,#_Hospital_with_Adult_Day_Care_Program=2018
f1258018,2018,2018,#_Hospital_with_Alcohol_Chemical_Dependent_Outpatient_Service=2018
f1258218,2018,2018,#_Hospital_with_Arthritis_Treatment_Center=2018
f1258318,2018,2018,#_Hospital_with_Assisted_Living=2018
f1258418,2018,2018,#_Hospital_with_Birth_Room_Labor_Delivery_Recovery_Room_Labor_Delivery_Recovery_Postpartum_Room=2018
f1258518,2018,2018,#_Hospital_with_Breast_Cancer_Screen_Mammography=2018
f1258718,2018,2018,#_Hospital_with_Case_Management=2018
f1258818,2018,2018,#_Hospital_with_Child_Wellness_Program=2018
f1258918,2018,2018,#_Hospital_with_Community_Outreach=2018
f1259018,2018,2018,#_Hospital_with_Crisis_Prevention=2018
f1259118,2018,2018,#_Hospital_with_Dental_Services=2018
f1259218,2018,2018,#_Hospital_with_On_Campus_Emergency_Depart=2018
f1259318,2018,2018,#_Hospital_with_Certified_Trauma_Center=2018
f1259418,2018,2018,#_Hospital_with_Extracorporeal_Shock=2018
f1259518,2018,2018,#_Hospital_with_Fitness_Center=2018
f1259618,2018,2018,#_Hospital_with_Freestandng_Outpatient_Center=2018
f1259718,2018,2018,#_Hospital_with_Geriatric_Services=2018
f1259818,2018,2018,#_Hospital_with_Health_Fair=2018
f1259918,2018,2018,#_Hospital_with_Community_Health_Education=2018
f1260018,2018,2018,#_Hospital_with_Health_Screenings=2018
f1260118,2018,2018,#_Hospital_with_Human_Immunodeficiency_Virus_Acquired_Immunodeficiency_Syndrome_Services=2018
f1260218,2018,2018,#_Hospital_with_Home_Health_Services=2018
f1260318,2018,2018,#_Hospital_with_Hospice=2018
f1260418,2018,2018,#Hispanic_with_Hospital_Based_Outpatient_Care_Center_Service=2018
f1260518,2018,2018,#_Hospital_with_Meal_Delivery_Services=2018
f1260618,2018,2018,#_Hospital_with_Nutrition_Programs=2018
f1260718,2018,2018,#_Hospital_with_Occupational_Health_Service=2018
f1260818,2018,2018,#_Hospital_with_Oncology_Services=2018
f1261118,2018,2018,#_Hospital_with_Outpatient_Surgery=2018
f1261218,2018,2018,#_Hospital_with_Patient_Education_Center=2018
f1261318,2018,2018,#_Hospital_with_Patient_Representative_Services=2018
f1261418,2018,2018,#_Hospital_with_Physical_Rehabilitation_Outpatient_Service=2018
f1261518,2018,2018,#_Hospital_with_Primary_Care_Department=2018
f1261618,2018,2018,#_Hospital_with_Psychiatric_Pediatric_Service=2018
f1261718,2018,2018,#_Hospital_with_Psychiatric_Consultation_Liaison_Service=2018
f1261918,2018,2018,#_Hospital_with_Psychiatric_Education_Service=2018
f1262018,2018,2018,#_Hospital_with_Psychiatric_Emergency_Service=2018
f1262118,2018,2018,#_Hospital_with_Psychiatric_Geriatric_Service=2018
f1262218,2018,2018,#_Hospital_with_Psychiatric_Outpatient_Service=2018
f1262518,2018,2018,#_Hospital_with_C.T._Scanner=2018
f1262618,2018,2018,#_Hospital_with_Diagnostic_Radioisotope_Facility=2018
f1262718,2018,2018,#_Hospital_with_Magnetic_Resonance_Imaging=2018
f1262918,2018,2018,#_Hospital_with_Positron_Emission_Emission_Tomography=2018
f1263018,2018,2018,#_Hospital_with_Single_Photon_Emission_Tomography=2018
f1263118,2018,2018,#_Hospital_with_Ultrasound=2018
f1263318,2018,2018,#_Hospital_with_Retirement_Housing=2018
f1263418,2018,2018,#_Hospital_with_Social_Work_Services=2018
f1263518,2018,2018,#_Hospital_with_Sports_Medicine=2018
